id,name,droits,scope,level,isSystem,description,createdAt,createdBy
b4353a5e-b3ef-4a96-a6cb-85dc0d77c96f,master,"{manage_network_sellers,sell_tickets,view_bookings,view_reports,view_network_commissions}",platform,60,t,Master — gère son réseau de vendeurs (commission réseau),2026-06-05 02:53:07.803338+00,
3c0e7759-0aa5-4501-8963-5b6027460651,vendeur_master,"{manage_network_sellers,sell_tickets,view_bookings}",platform,50,t,Chef d'équipe sous un master (réseau uniquement),2026-06-05 02:53:07.803338+00,
1b7f6a47-4c1f-4e96-b8f9-00b785e666d1,vendeur_reseau,"{sell_tickets,view_bookings}",platform,45,t,"Vendeur du réseau d'un master (assigné, pas auto-inscription)",2026-06-05 02:53:07.803338+00,
74cd3f55-6c6a-4165-b0d5-3b6921386bb4,vendeur_independant,"{sell_tickets,view_bookings}",platform,40,t,"Vendeur indépendant — auto-inscription plateforme, hors réseau master",2026-06-05 02:53:07.803338+00,
f2acaa70-5202-4052-b864-4107cef7a43e,master_independant,"{sell_tickets,sell_all_companies,view_bookings,view_reports}",platform,55,t,Master indépendant — vente toutes compagnies,2026-06-05 02:53:07.803338+00,
c14c9aba-144d-413a-86c4-6aa949455403,traveler,"{reserve_tickets,view_bookings}",platform,10,t,Voyageur — rôle par défaut à l'inscription,2026-06-05 02:53:07.803338+00,
2cb248d0-67ca-4525-9148-eb18c011169f,comptable_compagnie,"{view_bookings,view_reports,manage_accounting}",company,30,t,Comptable de la compagnie,2026-06-05 02:53:07.803338+00,
fa8e8f90-26f0-45d9-ae31-72534b7c46f3,controleur,"{view_bookings,control_tickets}",company,25,t,Contrôleur de tickets,2026-06-05 02:53:07.803338+00,
bf90e5dc-88a2-488c-bfa9-e1e279f93f60,vendeur,"{sell_tickets,view_bookings}",company,20,t,Vendeur employé de la compagnie,2026-06-05 02:53:07.803338+00,
118c0dd7-6bde-41c0-be64-540b7048c43c,chauffeur,"{sell_tickets,view_bookings,control_tickets}",company,21,t,Chauffeur — vente guichet et controle embarquement,2026-06-13 06:31:38.426539+00,
e8f5d751-a6a6-4da5-bc85-218114e62deb,demarcheur,"{view_recruited_companies,view_recruiter_commissions}",platform,12,t,Démarcheur Tibus — suit les compagnies recrutées et ses commissions recruteur,2026-06-16 15:31:00.792509+00,
764a0c48-3e8a-4ceb-b2bc-3de5068ac1ef,gerant_gare,"{manage_gare,sell_tickets,schedule_trips}",company,22,t,Gérant de gare — équipe et programmation départs,2026-06-21 20:04:15.958508+00,
af7a7bb5-094d-4c64-a82f-0512d8cb13c8,vendeur_gare,{sell_tickets},company,20,t,Vendeur guichet rattaché à une gare,2026-06-21 20:04:15.958508+00,
51c49a24-c05d-4a0d-b60d-0983de436b82,controleur_gare,{control_tickets},company,19,t,Contrôleur embarquement rattaché à une gare,2026-06-21 20:04:15.958508+00,
90e50fce-572c-4a2e-9094-cd7a996f2e73,comptable_gare,{view_accounting},company,18,t,Comptable rattaché à une gare,2026-06-21 20:04:15.958508+00,
902a3927-9af0-49ee-8fff-fb65290338dc,super_admin,"{manage_platform,manage_roles,manage_country,manage_company,manage_buses,manage_stations,manage_routes,manage_trips,sell_tickets,sell_all_companies,reserve_tickets,view_bookings,cancel_bookings,manage_sellers,manage_independent_sellers,view_reports,manage_subscriptions,manage_accounting,control_tickets,manage_geography,manage_feature_modules}",platform,100,t,Administrateur plateforme Tibus,2026-06-05 02:53:07.803338+00,
b04c26a6-2900-4891-bad8-ef7e84a48706,admin_pays,"{manage_country,manage_company,manage_trips,sell_tickets,view_bookings,manage_sellers,manage_independent_sellers,view_reports,manage_geography,manage_feature_modules}",platform,80,t,Administrateur d'un pays,2026-06-05 02:53:07.803338+00,
eaa41ec4-8110-46a6-b19e-9810152de492,owner,"{manage_company,manage_buses,manage_stations,manage_routes,manage_trips,sell_tickets,view_bookings,cancel_bookings,manage_sellers,view_reports,manage_subscriptions,assign_company_roles,manage_feature_modules}",company,70,t,Propriétaire de compagnie,2026-06-05 02:53:07.803338+00,
650bff1b-06d4-4fa7-bc9c-56cad8fb3d55,distributeur_gare,{receive_colis},company,17,t,Distributeur — confirme la reception des lots a l'arrivee et notifie les clients,2026-07-18 13:27:50.668926+00,
184169a9-500e-4f23-bb16-ec8faa87f42f,emballeur_gare,"{load_colis,pack_colis}",company,17,t,Emballeur — regroupe les colis en lots par destination et imprime le bordereau du lot,2026-07-18 13:27:50.668926+00,
6bce311a-82ec-4fb1-8a4b-bf5c120ba77a,chargeur_gare,"{load_colis,pack_colis}",company,17,t,Chargeur — confirme le chargement des lots (bordereaux) dans le vehicule,2026-07-18 13:27:50.668926+00,
